generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Generation #801:	-18838162.352762
Generation #802:	-18838162.352762
Generation #803:	-18838162.352762
Generation #804:	-18838162.352762
Generation #805:	-18838162.352762
Generation #806:	-18838162.352762
Generation #807:	-18838162.352762
Generation #808:	-18838162.352762
Generation #809:	-18838162.352762
Generation #810:	-18838162.352762
Generation #811:	-18838162.352762
Generation #812:	-18838162.352762
Generation #813:	-18838162.352762
Generation #814:	-18838162.352762
Generation #815:	-18838162.352762
Generation #816:	-18838162.352762
Generation #817:	-18838162.352762
Generation #818:	-18838162.352762
Generation #819:	-18838162.352762
Generation #820:	-18838162.352762
Generation #821:	-18838162.352762
Generation #822:	-18838162.352762
Generation #823:	-18838162.352762
Generation #824:	-18838162.352762
Generation #825:	-18838162.352762
Generation #826:	-18838162.352762
Generation #827:	-18838162.352762
Generation #828:	-18838162.352762
Generation #829:	-18838162.352762
Generation #830:	-18838162.352762
Generation #831:	-18838162.352762
Generation #832:	-18838162.352762
Generation #833:	-18838162.352762
Generation #834:	-18838162.352762
Generation #835:	-18838162.352762
Generation #836:	-18838162.352762
Generation #837:	-18838162.352762
Generation #838:	-18838162.352762
Generation #839:	-18838162.352762
Generation #840:	-18838162.352762
Generation #841:	-18838162.352762
Generation #842:	-18838162.352762
Generation #843:	-18838162.352762
Generation #844:	-18838162.352762
Generation #845:	-18838162.352762
Generation #846:	-18838162.352762
Generation #847:	-18838162.352762
Generation #848:	-18838162.352762
Generation #849:	-18838162.352762
Generation #850:	-18838162.352762
Generation #851:	-18838162.352762
Generation #852:	-18838162.352762
Generation #853:	-18838162.352762
Generation #854:	-18838162.352762
Generation #855:	-18838162.352762
Generation #856:	-18838162.352762
Generation #857:	-18838162.352762
Generation #858:	-18838162.352762
Generation #859:	-18838162.352762
Generation #860:	-18838162.352762
Generation #861:	-18838162.352762
Generation #862:	-18838162.352762
Generation #863:	-18838162.352762
Generation #864:	-18838162.352762
Generation #865:	-18838162.352762
Generation #866:	-18838162.352762
Generation #867:	-18838162.352762
Generation #868:	-18838162.352762
Generation #869:	-18838162.352762
Generation #870:	-18838162.352762
Generation #871:	-18838162.352762
Generation #872:	-18838162.352762
Generation #873:	-18838162.352762
Generation #874:	-18838162.352762
Generation #875:	-18838162.352762
Generation #876:	-18838162.352762
Generation #877:	-18838162.352762
Generation #878:	-18838162.352762
Generation #879:	-18838162.352762
Generation #880:	-18838162.352762
Generation #881:	-18838162.352762
Generation #882:	-18838162.352762
Generation #883:	-18838162.352762
Generation #884:	-18838162.352762
Generation #885:	-18838162.352762
Generation #886:	-18838162.352762
